EmployeeID,Department,JobRole,Attrition,Gender,Age,MaritalStatus,Education,EducationField,BusinessTravel,JobInvolvement,JobLevel,JobSatisfaction,Hourlyrate,Income,Salaryhike,OverTime,Workex,YearsSinceLastPromotion,EmpSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Performance_Rating
1,Sales,Sales Executive,Yes,Female,41,Single,College,Life Sciences,Travel_Rarely,High,2,Very High,94,5993,11,Yes,8,0,Medium,0,Bad,Excellent
2,Research & Development,Research Scientist,No,Male,49,Married,Below College,Life Sciences,Travel_Frequently,Medium,2,Medium,61,5130,23,No,10,1,High,3,Better,Outstanding
3,Research & Development,Laboratory Technician,Yes,Male,37,Single,College,Other,Travel_Rarely,Medium,1,High,92,2090,15,Yes,7,0,Very High,3,Better,Excellent
4,Research & Development,Research Scientist,No,Female,33,Married,Master,Life Sciences,Travel_Frequently,High,1,High,56,2909,11,Yes,8,3,Very High,3,Better,Excellent
5,Research & Development,Laboratory Technician,No,Male,27,Married,Below College,Medical,Travel_Rarely,High,1,Medium,40,3468,12,No,6,2,Low,3,Better,Excellent
6,Research & Development,Laboratory Technician,No,Male,32,Single,College,Life Sciences,Travel_Frequently,High,1,Very High,79,3068,13,No,8,3,Very High,2,Good,Excellent
7,Research & Development,Laboratory Technician,No,Female,59,Married,Bachelor,Medical,Travel_Rarely,Very High,1,Low,81,2670,20,Yes,12,0,High,3,Good,Outstanding
8,Research & Development,Laboratory Technician,No,Male,30,Divorced,Below College,Life Sciences,Travel_Rarely,High,1,High,67,2693,22,No,1,0,Very High,2,Better,Outstanding
9,Research & Development,Manufacturing Director,No,Male,38,Single,Bachelor,Life Sciences,Travel_Frequently,Medium,3,High,44,9526,21,No,10,1,Very High,2,Better,Outstanding
10,Research & Development,Healthcare Representative,No,Male,36,Married,Bachelor,Medical,Travel_Rarely,High,2,High,94,5237,13,No,17,7,High,3,Good,Excellent
11,Research & Development,Laboratory Technician,No,Male,35,Married,Bachelor,Medical,Travel_Rarely,Very High,1,Medium,84,2426,13,No,6,0,Low,5,Better,Excellent
12,Research & Development,Laboratory Technician,No,Female,29,Single,College,Life Sciences,Travel_Rarely,Medium,2,High,49,4193,12,Yes,10,0,Very High,3,Better,Excellent
13,Research & Development,Research Scientist,No,Male,31,Divorced,Below College,Life Sciences,Travel_Rarely,High,1,High,31,2911,17,No,5,4,Low,1,Good,Excellent
14,Research & Development,Laboratory Technician,No,Male,34,Divorced,College,Medical,Travel_Rarely,High,1,Very High,93,2661,11,No,3,1,Medium,2,Better,Excellent
15,Research & Development,Laboratory Technician,Yes,Male,28,Single,Bachelor,Life Sciences,Travel_Rarely,Medium,1,High,50,2028,14,Yes,6,0,High,4,Better,Excellent
